 GapName  E0TL[MeV]   phase[deg]   pos[m]    
LI_ACS02A:RG11  +0.303069  +152.42    142.471873
LI_ACS02A:RG12  +0.303069  +152.95    142.559784
LI_ACS02A:RG13  +0.303069  +153.39    142.647695
LI_ACS02A:RG14  +0.303069  +153.74    142.735606
LI_ACS02A:RG15  +0.303069  +153.99    142.823518
LI_ACS02A:RG16  +0.303069  +154.16    142.911429
LI_ACS02A:RG17  +0.303069  +154.24    142.999340
LI_ACS02B:RG01  +0.303069  +154.23    143.878563
LI_ACS02B:RG02  +0.303069  +154.13    143.966474
LI_ACS02B:RG03  +0.303069  +153.94    144.054385
LI_ACS02B:RG04  +0.303069  +153.66    144.142296
LI_ACS02B:RG05  +0.303069  +153.30    144.230207
LI_ACS02B:RG06  +0.303069  +152.85    144.318118
LI_ACS02B:RG07  +0.303069  +152.31    144.406029
LI_ACS02B:RG08  +0.303069  +151.68    144.493940
LI_ACS02B:RG09  +0.303069  +150.97    144.581851
LI_ACS02B:RG10  +0.303069  +150.17    144.669762
LI_ACS02B:RG11  +0.303069  +149.29    144.757673
LI_ACS02B:RG12  +0.303069  +148.33    144.845584
LI_ACS02B:RG13  +0.303069  +147.28    144.933495
LI_ACS02B:RG14  +0.303069  +146.15    145.021406
LI_ACS02B:RG15  +0.303069  +144.95    145.109317
LI_ACS02B:RG16  +0.303069  +143.66    145.197228
LI_ACS02B:RG17  +0.303069  +142.30    145.285139
LI_ACS03A:RG01  +0.307743  +142.65    146.171296
LI_ACS03A:RG02  +0.307743  +143.99    146.260613
LI_ACS03A:RG03  +0.307743  +145.24    146.349930
LI_ACS03A:RG04  +0.307743  +146.42    146.439247
LI_ACS03A:RG05  +0.307743  +147.51    146.528564
LI_ACS03A:RG06  +0.307743  +148.53    146.617881
LI_ACS03A:RG07  +0.307743  +149.46    146.707198
LI_ACS03A:RG08  +0.307743  +150.30    146.796515
LI_ACS03A:RG09  +0.307743  +151.06    146.885832
LI_ACS03A:RG10  +0.307743  +151.74    146.975149
LI_ACS03A:RG11  +0.307743  +152.33    147.064466
LI_ACS03A:RG12  +0.307743  +152.83    147.153783
LI_ACS03A:RG13  +0.307743  +153.25    147.243100
LI_ACS03A:RG14  +0.307743  +153.59    147.332417
LI_ACS03A:RG15  +0.307743  +153.83    147.421734
LI_ACS03A:RG16  +0.307743  +154.00    147.511051
LI_ACS03A:RG17  +0.307743  +154.07    147.600368
LI_ACS03B:RG01  +0.307743  +154.06    148.493650
LI_ACS03B:RG02  +0.307743  +153.97    148.582967
LI_ACS03B:RG03  +0.307743  +153.78    148.672284
LI_ACS03B:RG04  +0.307743  +153.52    148.761601
LI_ACS03B:RG05  +0.307743  +153.17    148.850918
LI_ACS03B:RG06  +0.307743  +152.73    148.940235
LI_ACS03B:RG07  +0.307743  +152.22    149.029552
LI_ACS03B:RG08  +0.307743  +151.61    149.118869
LI_ACS03B:RG09  +0.307743  +150.93    149.208186
LI_ACS03B:RG10  +0.307743  +150.16    149.297503
LI_ACS03B:RG11  +0.307743  +149.32    149.386820
LI_ACS03B:RG12  +0.307743  +148.39    149.476137
LI_ACS03B:RG13  +0.307743  +147.39    149.565454
LI_ACS03B:RG14  +0.307743  +146.30    149.654771
LI_ACS03B:RG15  +0.307743  +145.14    149.744088
LI_ACS03B:RG16  +0.307743  +143.91    149.833405
LI_ACS03B:RG17  +0.307743  +142.60    149.922722
LI_ACS04A:RG01  +0.312316  +142.94    150.822792
LI_ACS04A:RG02  +0.312316  +144.23    150.913481
LI_ACS04A:RG03  +0.312316  +145.43    151.004170
LI_ACS04A:RG04  +0.312316  +146.56    151.094860
LI_ACS04A:RG05  +0.312316  +147.62    151.185549
LI_ACS04A:RG06  +0.312316  +148.59    151.276238
LI_ACS04A:RG07  +0.312316  +149.48    151.366927
LI_ACS04A:RG08  +0.312316  +150.29    151.457616
LI_ACS04A:RG09  +0.312316  +151.02    151.548305
LI_ACS04A:RG10  +0.312316  +151.67    151.638994
LI_ACS04A:RG11  +0.312316  +152.24    151.729683
LI_ACS04A:RG12  +0.312316  +152.72    151.820372
LI_ACS04A:RG13  +0.312316  +153.12    151.911061
LI_ACS04A:RG14  +0.312316  +153.44    152.001750
LI_ACS04A:RG15  +0.312316  +153.68    152.092439
LI_ACS04A:RG16  +0.312316  +153.84    152.183128
LI_ACS04A:RG17  +0.312316  +153.91    152.273817
LI_ACS04B:RG01  +0.312316  +153.90    153.180825
LI_ACS04B:RG02  +0.312316  +153.81    153.271514
LI_ACS04B:RG03  +0.312316  +153.63    153.362203
LI_ACS04B:RG04  +0.312316  +153.38    153.452892
LI_ACS04B:RG05  +0.312316  +153.04    153.543581
LI_ACS04B:RG06  +0.312316  +152.62    153.634270
LI_ACS04B:RG07  +0.312316  +152.13    153.724959
LI_ACS04B:RG08  +0.312316  +151.55    153.815648
LI_ACS04B:RG09  +0.312316  +150.89    153.906337
LI_ACS04B:RG10  +0.312316  +150.16    153.997026
LI_ACS04B:RG11  +0.312316  +149.34    154.087715
LI_ACS04B:RG12  +0.312316  +148.46    154.178405
LI_ACS04B:RG13  +0.312316  +147.49    154.269094
LI_ACS04B:RG14  +0.312316  +146.45    154.359783
LI_ACS04B:RG15  +0.312316  +145.33    154.450472
LI_ACS04B:RG16  +0.312316  +144.14    154.541161
LI_ACS04B:RG17  +0.312316  +142.88    154.631850
LI_ACS05A:RG01  +0.316705  +143.22    155.545478
LI_ACS05A:RG02  +0.316705  +144.45    155.637506
LI_ACS05A:RG03  +0.316705  +145.62    155.729534
LI_ACS05A:RG04  +0.316705  +146.70    155.821562
LI_ACS05A:RG05  +0.316705  +147.71    155.913589
LI_ACS05A:RG06  +0.316705  +148.65    156.005617
LI_ACS05A:RG07  +0.316705  +149.50    156.097645
LI_ACS05A:RG08  +0.316705  +150.28    156.189673
LI_ACS05A:RG09  +0.316705  +150.98    156.281701
LI_ACS05A:RG10  +0.316705  +151.61    156.373729
LI_ACS05A:RG11  +0.316705  +152.15    156.465757
LI_ACS05A:RG12  +0.316705  +152.62    156.557785
LI_ACS05A:RG13  +0.316705  +153.00    156.649813
LI_ACS05A:RG14  +0.316705  +153.31    156.741841
LI_ACS05A:RG15  +0.316705  +153.54    156.833869
LI_ACS05A:RG16  +0.316705  +153.69    156.925897
LI_ACS05A:RG17  +0.316705  +153.76    157.017925
LI_ACS05B:RG01  +0.316705  +153.75    157.938325
LI_ACS05B:RG02  +0.316705  +153.66    158.030353
LI_ACS05B:RG03  +0.316705  +153.49    158.122381
LI_ACS05B:RG04  +0.316705  +153.25    158.214409
LI_ACS05B:RG05  +0.316705  +152.92    158.306437
