z[m]        G0[T/m]       G1[T/m] 
     2.07683909        0.000000      0.000000 
     2.07984030        0.000000      0.509134 
     2.08284152        0.000000      1.216432 
     2.08584273        0.000000      3.020681 
     2.08884394        0.000000      7.360512 
     2.09184515        0.000000     15.947604 
     2.09484637       48.268658     27.785508 
     2.09784758       48.268658     38.077347 
     2.10084879       48.268658     43.981060 
     2.10385000       48.268658     46.584668 
     2.10685122       48.268658     47.616440 
     2.10985243       48.268658     48.022448 
     2.11285364       48.268658     48.188493 
     2.11585485       48.268658     48.259570 
     2.11885607       48.268658     48.290233 
     2.12185728       48.268658     48.301173 
     2.12485849       48.268658     48.299118 
     2.12785970       48.268658     48.282836 
     2.13086092       48.268658     48.242064 
     2.13386213       48.268658     48.148148 
     2.13686334       48.268658     47.925696 
     2.13986456       48.268658     47.373369 
     2.14286577       48.268658     45.962697 
     2.14586698       48.268658     42.478335 
     2.14886819       48.268658     35.100084 
     2.15186941        0.000000     23.746771 
     2.15487062        0.000000     12.576426 
     2.15787183        0.000000      5.511831 
     2.16087304        0.000000      2.227425 
     2.16387426        0.000000      0.904650 
     2.16687547        0.000000      0.000000 
     2.16987668        0.000000      0.000000 
     2.17287789        0.000000      0.000000 
     2.17587911        0.000000      0.000000 
     2.17888032        0.000000      0.000000 
     2.18188153        0.000000      0.000000 
     2.18488274        0.000000      0.000000 
     2.18788396        0.000000      0.000000 
     2.19088517        0.000000     -0.916233 
     2.19388638        0.000000     -2.257860 
     2.19688759        0.000000     -5.582527 
     2.19988881        0.000000    -12.692500 
     2.20289002        0.000000    -23.821602 
     2.20589123      -47.786741    -34.996269 
     2.20889244      -47.786741    -42.184298 
     2.21189366      -47.786741    -45.558607 
     2.21489487      -47.786741    -46.921849 
     2.21789608      -47.786741    -47.455698 
     2.22089729      -47.786741    -47.670951 
     2.22389851      -47.786741    -47.761933 
     2.22689972      -47.786741    -47.801429 
     2.22990093      -47.786741    -47.817106 
