 rf_gap   eKinIn[MeV] eKinOut[MeV]  beta_avg 
LI_ACS03B:RG08    214.885311  215.156415     0.58125110
LI_ACS03B:RG09    215.156415  215.425760     0.58151762
LI_ACS03B:RG10    215.425760  215.693090     0.58178198
LI_ACS03B:RG11    215.693090  215.958138     0.58204392
LI_ACS03B:RG12    215.958138  216.220621     0.58230319
LI_ACS03B:RG13    216.220621  216.480240     0.58255949
LI_ACS03B:RG14    216.480240  216.736684     0.58281255
LI_ACS03B:RG15    216.736684  216.989626     0.58306206
LI_ACS03B:RG16    216.989626  217.238722     0.58330771
LI_ACS03B:RG17    217.238722  217.483613     0.58354916
LI_ACS04A:RG01    217.483613  217.732845     0.58379042
LI_ACS04A:RG02    217.732845  217.986228     0.58403557
LI_ACS04A:RG03    217.986228  218.243397     0.58428432
LI_ACS04A:RG04    218.243397  218.504004     0.58453632
LI_ACS04A:RG05    218.504004  218.767721     0.58479122
LI_ACS04A:RG06    218.767721  219.034233     0.58504870
LI_ACS04A:RG07    219.034233  219.303242     0.58530845
LI_ACS04A:RG08    219.303242  219.574466     0.58557020
LI_ACS04A:RG09    219.574466  219.847638     0.58583365
LI_ACS04A:RG10    219.847638  220.122501     0.58609856
LI_ACS04A:RG11    220.122501  220.398814     0.58636468
LI_ACS04A:RG12    220.398814  220.676345     0.58663177
LI_ACS04A:RG13    220.676345  220.954870     0.58689962
LI_ACS04A:RG14    220.954870  221.234177     0.58716801
LI_ACS04A:RG15    221.234177  221.514056     0.58743673
LI_ACS04A:RG16    221.514056  221.794306     0.58770558
LI_ACS04A:RG17    221.794306  222.074726     0.58797438
LI_ACS04B:RG01    222.074726  222.355432     0.58824308
LI_ACS04B:RG02    222.355432  222.635914     0.58851149
LI_ACS04B:RG03    222.635914  222.915974     0.58877928
LI_ACS04B:RG04    222.915974  223.195411     0.58904625
LI_ACS04B:RG05    223.195411  223.474019     0.58931222
LI_ACS04B:RG06    223.474019  223.751588     0.58957698
LI_ACS04B:RG07    223.751588  224.027897     0.58984035
LI_ACS04B:RG08    224.027897  224.302720     0.59010211
LI_ACS04B:RG09    224.302720  224.575818     0.59036204
LI_ACS04B:RG10    224.575818  224.846943     0.59061992
LI_ACS04B:RG11    224.846943  225.115835     0.59087552
LI_ACS04B:RG12    225.115835  225.382219     0.59112860
LI_ACS04B:RG13    225.382219  225.645808     0.59137888
LI_ACS04B:RG14    225.645808  225.906301     0.59162612
LI_ACS04B:RG15    225.906301  226.163381     0.59187001
LI_ACS04B:RG16    226.163381  226.416717     0.59211028
LI_ACS04B:RG17    226.416717  226.665964     0.59234661
LI_ACS05A:RG01    226.665964  226.919629     0.59258285
LI_ACS05A:RG02    226.919629  227.177308     0.59282280
LI_ACS05A:RG03    227.177308  227.438651     0.59306609
LI_ACS05A:RG04    227.438651  227.703326     0.59331239
LI_ACS05A:RG05    227.703326  227.971015     0.59356138
LI_ACS05A:RG06    227.971015  228.241415     0.59381278
LI_ACS05A:RG07    228.241415  228.514241     0.59406629
LI_ACS05A:RG08    228.514241  228.789218     0.59432166
LI_ACS05A:RG09    228.789218  229.066089     0.59457861
LI_ACS05A:RG10    229.066089  229.344606     0.59483692
LI_ACS05A:RG11    229.344606  229.624534     0.59509635
LI_ACS05A:RG12    229.624534  229.905647     0.59535668
LI_ACS05A:RG13    229.905647  230.187728     0.59561771
LI_ACS05A:RG14    230.187728  230.470570     0.59587924
LI_ACS05A:RG15    230.470570  230.753968     0.59614107
LI_ACS05A:RG16    230.753968  231.037724     0.59640302
LI_ACS05A:RG17    231.037724  231.321642     0.59666491
LI_ACS05B:RG01    231.321642  231.605831     0.59692669
LI_ACS05B:RG02    231.605831  231.889795     0.59718818
LI_ACS05B:RG03    231.889795  232.173342     0.59744908
LI_ACS05B:RG04    232.173342  232.456274     0.59770920
